Area_m2,Rooms,Floor_num,Is_top_floor,Parking_effect,Municipality_score,Condition,Negative_floor,Type_str_Novogradnja,Type_str_Ostalo,Type_str_Stara gradnja,Heating_str_CG,Heating_str_EG,Heating_str_Norveški radijatori,Heating_str_Ostalo,Heating_str_Podno,Heating_str_Toplotne pumpe
-0.5211301175233375,-0.5353922377470408,-0.25774049655394005,-0.5568460463897045,-0.9438462927887861,-1.4577557335146136,0.8617170311239982,-0.5568460463897045,True,False,False,True,False,False,False,False,False
-0.654211805916378,-0.9601870179313124,0.2157175895071019,1.795828499606797,0.2926655171438096,-0.1679090373681753,0.8617170311239982,1.795828499606797,True,False,False,False,True,False,False,False,False
0.04921997558969315,0.3141973226215025,-0.25774049655394005,-0.5568460463897045,0.2926655171438096,1.5518865574937424,0.8617170311239982,-0.5568460463897045,False,False,True,False,False,False,False,False,True
-0.21694340119638783,1.163786882990046,0.6891756755681439,1.795828499606797,-0.9438462927887861,0.2620398613473041,-1.311867719024594,1.795828499606797,False,True,False,True,False,False,False,False,False
-0.7492701547685497,-1.8097765782998558,-0.7311985826149819,-0.5568460463897045,0.2926655171438096,-1.4577557335146136,0.8617170311239982,-0.5568460463897045,True,False,False,False,False,True,False,False,False
0.004352434931468083,0.3141973226215025,-0.7311985826149819,-0.5568460463897045,1.529177327076405,-0.1679090373681753,0.8617170311239982,-0.5568460463897045,True,False,False,False,False,False,False,True,False
-0.16960434346800637,-0.11059745756276915,-0.7311985826149819,1.795828499606797,-0.9438462927887861,-1.027806834799134,-1.311867719024594,1.795828499606797,True,False,False,False,True,False,False,False,False
-0.15990839188508477,0.7389921028057742,-0.7311985826149819,-0.5568460463897045,-0.9438462927887861,-0.1679090373681753,-1.311867719024594,-0.5568460463897045,False,True,False,False,False,False,True,False,False
-0.5021184477529032,-0.5353922377470408,-0.25774049655394005,-0.5568460463897045,-0.9438462927887861,-0.1679090373681753,-1.311867719024594,-0.5568460463897045,False,True,False,False,True,False,False,False,False
0.2583483430644711,0.7389921028057742,3.0564661058733535,-0.5568460463897045,-0.9438462927887861,0.2620398613473041,-1.311867719024594,-0.5568460463897045,False,True,False,True,False,False,False,False,False
0.12526665467143058,0.3141973226215025,-0.7311985826149819,-0.5568460463897045,-0.9438462927887861,1.5518865574937424,-1.311867719024594,-0.5568460463897045,False,True,False,True,False,False,False,False,False
0.8667217757183704,1.163786882990046,1.6360918476902278,1.795828499606797,0.2926655171438096,1.121937658778263,0.13718878107446741,1.795828499606797,False,False,True,True,False,False,False,False,False
-0.7492701547685497,-1.8097765782998558,-0.7311985826149819,-0.5568460463897045,0.2926655171438096,-1.4577557335146136,0.8617170311239982,-0.5568460463897045,True,False,False,False,False,True,False,False,False
0.030208305819258794,0.3141973226215025,0.2157175895071019,1.795828499606797,0.2926655171438096,0.2620398613473041,0.13718878107446741,1.795828499606797,False,True,False,False,False,True,False,False,False
-0.8443285036207215,-1.384981798115584,-0.7311985826149819,-0.5568460463897045,-0.9438462927887861,-1.4577557335146136,0.8617170311239982,-0.5568460463897045,True,False,False,False,True,False,False,False,False
-0.21694340119638783,1.163786882990046,0.6891756755681439,1.795828499606797,-0.9438462927887861,0.2620398613473041,-1.311867719024594,1.795828499606797,False,True,False,True,False,False,False,False,False
-0.7492701547685497,-1.8097765782998558,-0.7311985826149819,-0.5568460463897045,0.2926655171438096,-1.4577557335146136,0.8617170311239982,-0.5568460463897045,True,False,False,False,False,True,False,False,False
-0.40706009890073136,-0.5353922377470408,1.6360918476902278,-0.5568460463897045,-0.9438462927887861,0.2620398613473041,-1.311867719024594,-0.5568460463897045,False,True,False,True,False,False,False,False,False
3.3762621854157056,2.0133764433585895,0.2157175895071019,-0.5568460463897045,1.529177327076405,1.9818354562092217,0.8617170311239982,-0.5568460463897045,False,True,False,True,False,False,False,False,False
-0.3500250895894283,0.3141973226215025,-1.2046566686760238,-0.5568460463897045,-0.9438462927887861,-0.5978579360836547,0.13718878107446741,-0.5568460463897045,False,False,True,False,False,True,False,False,False
-0.40706009890073136,-0.5353922377470408,1.6360918476902278,-0.5568460463897045,-0.9438462927887861,0.2620398613473041,-1.311867719024594,-0.5568460463897045,False,True,False,True,False,False,False,False,False
-0.7492701547685497,-1.8097765782998558,-0.7311985826149819,-0.5568460463897045,0.2926655171438096,-1.4577557335146136,0.8617170311239982,-0.5568460463897045,True,False,False,False,False,True,False,False,False
-0.5021184477529032,-0.5353922377470408,-0.25774049655394005,-0.5568460463897045,-0.9438462927887861,-0.1679090373681753,-1.311867719024594,-0.5568460463897045,False,True,False,False,True,False,False,False,False
